domaine;nom;niche;ville;commune;dept;design;anciennete;non_responsif;sans_https;techno;signaux_design
ecobio-materiaux.fr;Écobio matériaux;Artisanat & BTP;Limoges;;87;69;6;oui;non;—;layout en tableaux (23) | bgcolor= | doctype ancien | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (2B) | aucun radius/ombre
chr.kawa.fr;Kawa;Artisanat & BTP;Paris;;75;64;5;oui;oui;—;layout en tableaux (11) | doctype ancien | non responsive | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
azurvolets.com;Azur Volets;Artisanat & BTP;Toulon;;83;59;6;oui;non;—;balises <font> (2) | non responsive | <br> en masse | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
fireshopextincteur.fr;Fire Shop;Artisanat & BTP;Paris;;75;59;6;oui;non;oxatis (www.oxatis.com);layout en tableaux (5) | balises <font> (4) | <center> | <marquee> | doctype ancien | non responsive | document.write
chantiernavalpleinemer.com;Pleine Mer;Artisanat & BTP;Quimper;;29;56;11;oui;oui;adobe golive;frameset | non responsive | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
cotepair.com;Coiffure Côté Pair;Beaute & Bien-etre;Strasbourg;;67;74;8;oui;oui;—;layout en tableaux (18) | <center> | sans doctype | non responsive | document.write | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
fabien.coiffure.free.fr;Fabien Coiffure;Beaute & Bien-etre;Brest;;29;64;8;oui;oui;—;balises <font> (1) | doctype ancien | non responsive | document.write | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
alizebeaute.fr;Alizé beauté;Beaute & Bien-etre;Bourges;;18;56;6;oui;non;—;balises <font> (2) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
b-gilles-coiffeur.fr;B Gilles Coiffeur;Beaute & Bien-etre;Perpignan;;66;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
centrebeautedesarceaux.fr;Centre de beauté des Arceaux;Beaute & Bien-etre;Montpellier;;34;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
coiffure-eric-78.com;Eric Coiffure;Beaute & Bien-etre;Paris;Versailles (78000);75;56;6;oui;non;—;balises <font> (15) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
dupaty-opticien-rochelle.fr;Optique Dupaty;Beaute & Bien-etre;La Rochelle;;17;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
institut-beaute-belloceane.fr;Bellocéane;Beaute & Bien-etre;Paris;;75;56;6;oui;non;—;balises <font> (13) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
langebleu.fr;L'Ange Bleu;Beaute & Bien-etre;Caen;;14;56;6;oui;non;—;balises <font> (2) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
ferme-auberge-strohberg.com;Ferme-Auberge Strohberg;Restauration;Colmar;;68;80;6;oui;non;—;layout en tableaux (12) | bgcolor= | sans doctype | non responsive | <br> en masse | images .gif | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | police vintage | aucun radius/ombre
lautrequai.com;L'Autre Quai;Restauration;Nantes;;44;70;10;oui;oui;—;balises <font> (4) | bgcolor= | sans doctype | non responsive | document.write | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
delices-du-sommelier.fr;Les Délices du Sommelier;Restauration;Voiron;;38;69;8;oui;oui;—;layout en tableaux (6) | balises <font> (1) | sans doctype | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
friteriedumynck.fr;Friterie du Mynck;Restauration;Dunkerque;Dunkerque (59140);59;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
hanabi-restaurant-japonais.fr;Mont Fuji;Restauration;Orleans;;45;56;8;oui;non;—;balises <font> (27) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
boucherie-rotonde.fr;Boucherie de la Rotonde - Mostefa Kachour;Restauration;Paris;Nanterre Envoyez (92000);75;56;6;oui;non;—;balises <font> (7) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
boulangerie-lanavette.fr;La Navette;Restauration;Paris;;75;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
cabines-ouistreham.fr;Les Cabines;Restauration;Caen;;14;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
charcuterie-bonnard.fr;Bonnard;Restauration;Lyon;;69;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
autopiacars.fr;AutopiaCars38;Automobile;Grenoble;;38;82;8;oui;oui;—;layout en tableaux (3) | balises <font> (3) | <center> | bgcolor= | doctype ancien | non responsive | document.write | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
tjb4x4.com;Tom and Jerry Bros;Automobile;Aubagne;;13;76;10;oui;oui;—;layout en tableaux (54) | balises <font> (3) | <center> | doctype ancien | non responsive | images .gif | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
garage-calderoni.com;Garage Calderoni;Automobile;Lyon;Miribel T (01700);69;70;10;oui;oui;—;layout en tableaux (6) | bgcolor= | sans doctype | non responsive | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS | aucun radius/ombre
garage-fast-car-rpa.webnode.fr;Fast Car RPA;Automobile;Paris;;75;58;5;oui;non;webnode;layout en tableaux (4) | doctype ancien | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
garage-lrm-fontenay-aux-roses.fr;Garage LRM;Automobile;Paris;Fontenay aux Roses (92260);75;56;8;oui;non;—;balises <font> (21) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
efardia.fr;Blanchisserie Efardia;Services de proximite;Bayonne;;64;82;6;oui;non;—;layout en tableaux (16) | balises <font> (6) | bgcolor= | doctype ancien | non responsive | <br> en masse | images .gif | pas de @media | px uniquement | pas de flex/grid | pas de variables CSS
esurfmultimedia.weebly.com;E. Surf Multimédia;Services de proximite;Paris;DRAVEIL (91210);75;68;6;oui;non;—;layout en tableaux (5) | balises <font> (8) | non responsive | document.write | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
aquitainerepro.com;Aquitaine Repro;Services de proximite;Bordeaux;;33;63;6;oui;non;joomla! 1.5 - open source content management;layout en tableaux (8) | sans doctype | non responsive | images .gif | pas de @media | pas de flex/grid | pas de variables CSS | police vintage
azaccessoires.com;Nation informatique;Services de proximite;Paris;;75;61;8;oui;oui;—;balises <font> (11) | <center> | bgcolor= | doctype ancien | non responsive | pas de @media | pas de flex/grid | aucun radius/ombre
atbirvoyages.com;Atbir Voyages;Services de proximite;Paris;;75;60;7;oui;oui;—;layout en tableaux (4) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (3B) | aucun radius/ombre
photo.rainbow.free.fr;Photo Rainbow;Services de proximite;Paris;;75;59;8;oui;oui;—;layout en tableaux (7) | balises <font> (12) | <marquee> | bgcolor= | sans doctype | non responsive | images .gif
accessrepro.fr;Access Repro;Services de proximite;Paris;Saint Denis Mentions (93200);75;57;9;oui;non;wordpress 5.4.21;layout en tableaux (3) | balises <font> (16) | doctype ancien | non responsive | pas de @media
