domaine;nom;niche;ville;commune;dept;design;anciennete;non_responsif;sans_https;techno;signaux_design
econhome.fr;Eco'n home;Artisanat & BTP;Limoges;;87;37;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS
gilsol.com;Gilsol;Artisanat & BTP;Paris;Suresnes (92150);75;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
fjdm.fr;F.J.D.M.;Artisanat & BTP;Paris;Viroflay (78220);75;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
entreprisedelvigne.site-solocal.com;Delvigne;Artisanat & BTP;Tours;Saint-Avertin (37550);37;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
electricite-hertzog.fr;Electricité Hertzog Daniel;Artisanat & BTP;Strasbourg;Schiltigheim (67300);67;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
alazard-sas.com;Alazard;Artisanat & BTP;Paris;LENTREPRISE (94500);75;29;3;oui;non;—;non responsive | pas de @media
magalo.site-solocal.com;L’Atelier By Marina;Beaute & Bien-etre;Bordeaux;;33;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
claudiafeedessoins.fr;Salon de beauté Claudia;Beaute & Bien-etre;Strasbourg;Ostwald (67540);67;37;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS
elistyl-lyon8.fr;Elistyl';Beaute & Bien-etre;Lyon;;69;36;2;non;non;—;layout en tableaux (3) | pas de @media | pas de flex/grid | aucun radius/ombre
lionltatouage.fr;lion'l tatouage;Beaute & Bien-etre;Belfort;;90;31;2;non;non;powered by wpbakery page builder - drag and drop page builde;layout en tableaux (6) | pas de @media | pas de variables CSS
egocentrik.fr;Egocentrik;Beaute & Bien-etre;Paris;Montrouge (92120);75;29;6;oui;non;—;balises <font> (1) | non responsive | police vintage
