domaine;nom;niche;ville;commune;dept;design;anciennete;non_responsif;sans_https;techno;signaux_design
materiaux-dutreix.fr;Dutreix;Artisanat & BTP;Limoges;;87;56;8;oui;non;—;balises <font> (26) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
baudat-jp-chauffage.fr;Baudat J.P. chauffage plomberie;Artisanat & BTP;Tours;;37;56;6;oui;non;—;balises <font> (4) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
boisseau-couverture-charpente.fr;Boisseau;Artisanat & BTP;Tours;;37;56;6;oui;non;—;balises <font> (26) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
confort-moderne-seynesurmer.fr;Confort Moderne;Artisanat & BTP;La Seyne-sur-Mer;;83;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
lalouer-boucher.com;Lalouer Boucher SCOP;Artisanat & BTP;Brest;;29;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
latelier-de-julien.fr;Atelier de Julien;Beaute & Bien-etre;Belfort;;90;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
les-ateliers-du-cheveu.fr;Les Ateliers du Cheveu;Beaute & Bien-etre;Dieppe;;76;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
salon-forum.fr;Salon du Forum;Beaute & Bien-etre;Reims;;51;56;6;oui;non;—;balises <font> (6) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
cotecoiffure69.fr;Côté Coiffure;Beaute & Bien-etre;Lyon;;69;54;9;oui;non;joomla! - open source content management;balises <font> (5) | <marquee> | non responsive | pas de @media | pas de flex/grid | pas de variables CSS
happytime24.de;Christiane's Haarstudio;Beaute & Bien-etre;Strasbourg;;67;53;8;oui;oui;—;bgcolor= | doctype ancien | non responsive | images .gif | document.write | pas de @media | pas de flex/grid | aucun radius/ombre
hoerdtoptique.com;Hoerdt Optique;Beaute & Bien-etre;Strasbourg;;67;53;8;oui;oui;—;balises <font> (6) | non responsive | <br> en masse | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
megasun-biarritz.fr;megaSun;Beaute & Bien-etre;Bayonne;;64;51;8;oui;oui;—;balises <font> (12) | doctype ancien | non responsive | pas de @media | pas de flex/grid | aucun radius/ombre
ayu-bienetre.fr;AYU bien-être;Beaute & Bien-etre;Strasbourg;;67;49;6;oui;non;—;layout en tableaux (5) | balises <font> (5) | bgcolor= | sans doctype | non responsive
aulnoy-optic-chelles.fr;Aulnoy Optic;Beaute & Bien-etre;Paris;Chelles (77500);75;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
doncamillo-pizza.fr;Don Camillo Pizza;Restauration;Fréjus;;83;56;6;oui;non;—;balises <font> (2) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
espaceladeveze.fr;Espace La Devèze;Restauration;Perpignan;;66;56;6;oui;non;—;balises <font> (6) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
jardingourmand-papea.com;Jardin Gourmand;Restauration;Le Mans;;72;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
lafontanina.fr;La Fontanina;Restauration;Fréjus;;83;56;6;oui;non;—;balises <font> (5) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
legleau-lefleme.fr;Boucherie Charcuterie Le Gleau;Restauration;Brest;;29;56;6;oui;non;—;balises <font> (10) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
lerestaurantduport.fr;Le restaurant du Port;Restauration;Chambery;;73;56;6;oui;non;—;balises <font> (17) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
lesecuriesdelaube.com;LeKabanon des écuries de l'aube;Restauration;Aix-en-Provence;;13;56;6;oui;non;—;balises <font> (4) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
ferme-de-trevarn.fr;Fromagerie de Trevarn;Restauration;Brest;;29;55;6;oui;non;—;balises <font> (1) | doctype ancien | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | police vintage
creperie.clementine.free.fr;Crêperie Clémentine;Restauration;Vichy;;3;54;8;oui;oui;bloc-notes;layout en tableaux (4) | balises <font> (6) | <center> | bgcolor= | sans doctype | non responsive
jpn-automobiles.fr;Garage des 3 gares;Automobile;Paris;Viroflay (78220);75;56;8;oui;non;—;balises <font> (22) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
axeauto.fr;Axe Auto;Automobile;Chambery;;73;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
bernard-agri.com;Bernard Matériels Agricoles;Automobile;Lyon;;69;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
carrosserie-pont-de-vivaux.fr;Carosserie Pont de Vivaux;Automobile;Marseille;;13;56;6;oui;non;—;balises <font> (27) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
corderie-voilerie-atlantique.fr;Corderie Voilerie de l'Atlantique;Automobile;Bordeaux;;33;56;6;oui;non;—;balises <font> (9) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
berton-ballard.fr;Berton et Ballard;Services de proximite;Paris;Montrouge T (92120);75;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
bouquillon-serrurerie-paris.fr;Ets Bouquillon;Services de proximite;Paris;;75;56;6;oui;non;—;balises <font> (29) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
cles-beziers-discount.fr;Express M B;Services de proximite;Agde;;34;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
formosaflash.net;Formosaflash;Services de proximite;Paris;;75;56;6;oui;non;—;balises <font> (3) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
imageservice14.fr;Images Service;Services de proximite;Paris;;75;56;6;oui;non;—;balises <font> (1) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
laverie-lavluz-saintjeandeluz.fr;Lav'luz;Services de proximite;Bayonne;;64;56;6;oui;non;—;balises <font> (2) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
machineacoudre-paris.fr;Ludomatic;Services de proximite;Paris;;75;56;6;oui;non;—;balises <font> (2) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
